Company,Job,Listing Date,Location,Work Type,Teaser job,Job ID,Classification,Sub Classification,Job_URL,Classification_encoded,Cluster
,Content Creator,21 hari yang lalu,"Makassar, Sulawesi Selatan",Kontrak,Memiliki keahlian serta pengalaman dalam membuat konten minimal 1 tahun,81300399,"Periklanan, Seni & Media",Penyuntingan & Penerbitan,https://id.jobstreet.com/id/job/81300399,17,0
Extramarks Education Indonesia,Sales Representative B2G,10 hari yang lalu,Sulawesi Selatan,Full time,"Mengatur janji, presentasi, dan negosiasi di sekolah. Jalin hubungan klien, follow-up kontrak, maintenance aplikasi, dan layanan purna jual",81553323,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81553323,15,0
Takeda,IDN – Medical Representative,18 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"Job Title: IDN – Medical Representative
Location: Indonesia, South Sulawesi ( Makassar )
About the role:
Demonstrate competency of promoting and se...",81370058,Penjualan,Manajemen Akun & Relasi,https://id.jobstreet.com/id/job/81370058,15,0
AIA,Premier Bancassurance Life Consultant - Makassar,23 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,Melakukan penjualan produk asuransi AIA di BANK partner yang bekerjasama dengan AIA Financial,81246802,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81246802,15,0
Sometech Indonesia,Sales Executive For Medical Device (Makassar),18 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,-,81354663,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81354663,15,0
Tritanu,SALES EXECUTIVE MAKASSAR,8 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,Bertanggung jawab untuk melakukan penjualan mengenai berbagai produk perusahaan,81612996,Penjualan,Manajemen Akun & Relasi,https://id.jobstreet.com/id/job/81612996,15,0
Muat Cargo & Logistic,Sales Executive,12 hari yang lalu,"Makassar, Sulawesi Selatan",Kontrak,Menyiapkan laporan penjualan periodik untuk memantau kinerja dan mengidentifikasi area yang perlu ditingkatkan.,81494147,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81494147,15,0
Sekolah Kristen IPEKA,HEAD OF SCHOOL,24 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,Requirements:  Bachelor’s degree in any majors (Master’s degree holder is preferred) Minimum 5 years experience in related field preferably...,81209126,Pendidikan & Pelatihan,Manajemen – Sekolah,https://id.jobstreet.com/id/job/81209126,14,0
Elo Karsa Utama,Product Specialist Makasar (Medical Technology Business Segment),17 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"Be careful
Don’t provide your bank or credit card details when applying for jobs.
Learn how to protect yourself",81389513,Penjualan,Manajemen Akun & Relasi,https://id.jobstreet.com/id/job/81389513,15,0
Bank JTrust Indonesia,Branch Manager,16 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,Execute the business strategy to reach the maximum achievement of the sales target.,81411594,Perbankan & Layanan Finansial,Perbankan – Ritel/Cabang,https://id.jobstreet.com/id/job/81411594,16,0
PT Sumber Sentuhan Emas,Sales Marketing,22 hari yang lalu,Sulawesi Selatan,Kontrak,"Bekerjasama dengan tim penjualan, tim pemasaran, tim desain produk dan pengembangan produk untuk merencanakan metode pemasaran promosi. Membantu...",81272748,Pemasaran & Komunikasi,Pemasaran Perdagangan,https://id.jobstreet.com/id/job/81272748,12,0
PEB Steel Buildings Co Ltd,Sales Engineer Makassar,29 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,Kandidat harus memiliki Gelar Sarjana di Teknik Sipil atau setara Lebih disukai memiliki 2 tahun pengalaman dalam bidang Buildings Construction,81100043,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81100043,15,0
Tokio Marine Insurance Indonesia,Professional Financial Consultant,19 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"Kami mencari seseorang yang open minded, terbuka dengan tantangan baru, berani bermimpi besar, berkomitmen tinggi dan target oriented  untuk...",81335429,Perbankan & Layanan Finansial,Layanan Klien,https://id.jobstreet.com/id/job/81335429,16,0
Stella Gracia School,"Primary School Teacher (English, Science, Chinese, Arts & Crafts)",22 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,This is a job for those who create a stimulating and inclusive classroom environment that promotes academic and social development.,81284135,Pendidikan & Pelatihan,Pengajaran – Pendidikan Dasar,https://id.jobstreet.com/id/job/81284135,14,0
Petrosea,Tyre Engineer,4 hari yang lalu,Sulawesi Selatan,Full time,"Coordinate tyreman activities to ensure work is performed in a technically correct, safe & efficient manner,conform with company's standard & policies",81671855,"Pertambangan, Sumber Daya Alam & Energi",Pertambangan – Teknik & Pemeliharaan,https://id.jobstreet.com/id/job/81671855,18,0
